Bạn thường xuyên lướt mạng xã hội trong khi ăn sáng vào buổi sáng như thế nào?,Hầu hết các buổi sáng.
Bạn sử dụng mạng xã hội bao nhiêu lần trong bữa tối?,Thông thường là một hoặc hai lần.
Bạn thường xuyên truy cập mạng xã hội trong vòng 15 phút đầu tiên sau khi thức dậy như thế nào?,Gần như mỗi ngày.
Bạn sử dụng mạng xã hội thường xuyên như thế nào trong khi ăn trưa?,"Thường xuyên, đặc biệt là khi ăn một mình."
Bạn có so sánh mình với người khác trên mạng xã hội không? Bạn cảm thấy thế nào?,"Đôi khi tôi làm vậy, và điều đó khiến tôi cảm thấy bất an về những thành tựu của mình."
Bạn cân bằng việc sử dụng mạng xã hội và trách nhiệm học tập như thế nào?,"Tôi cố gắng đặt ra giới hạn, chẳng hạn như tắt thông báo trong thời gian học."
Mạng xã hội có giúp bạn xây dựng mạng lưới chuyên nghiệp không?,"Không nhiều lắm, nhưng tôi theo dõi một số chuyên gia trong lĩnh vực của mình để lấy cảm hứng."
Bạn có nghĩ rằng nghiện mạng xã hội là một vấn đề đối với học sinh không?,"Đúng vậy, nhiều bạn bè của tôi gặp khó khăn vì dành quá nhiều thời gian vào việc đó."
Bạn cảm thấy thế nào khi tạm ngừng sử dụng mạng xã hội?,"Tôi cảm thấy năng suất hơn và ít căng thẳng hơn, nhưng tôi cũng nhớ tin tức cập nhật từ bạn bè."
Bạn nghĩ những biện pháp nào có thể làm giảm tác động tiêu cực của mạng xã hội đối với học sinh?,Việc đặt giới hạn thời gian và sử dụng ứng dụng theo dõi mức sử dụng có thể giúp ích.
"Bạn có nghĩ mạng xã hội ảnh hưởng đến sức khỏe tinh thần của bạn không? Nếu có, thì ảnh hưởng như thế nào?","Đúng vậy, đôi khi tôi cảm thấy lo lắng hoặc cô đơn khi xem những thước phim nổi bật của người khác."
Bạn nghĩ giáo viên hoặc tổ chức có thể sử dụng mạng xã hội để hỗ trợ việc học như thế nào?,Họ có thể tạo các nhóm tương tác hoặc đăng các tài nguyên hữu ích cho sinh viên.
Bạn có tin rằng mạng xã hội có thể tăng cường khả năng học tập cộng tác giữa học sinh không?,"Có, trò chuyện nhóm và chia sẻ tài liệu giúp làm việc nhóm dễ dàng hơn."
Bạn có thể đưa ra lời khuyên gì cho các sinh viên khác về việc sử dụng mạng xã hội một cách có trách nhiệm?,Ưu tiên các mục tiêu học tập và hạn chế sử dụng mạng xã hội trong giờ học.
"Bạn có nghĩ việc sử dụng mạng xã hội ảnh hưởng đến lòng tự trọng của bạn không? Nếu có, thì ảnh hưởng như thế nào?","Đúng vậy, đôi khi tôi cảm thấy bất an khi so sánh mình với người khác trên mạng xã hội, điều này làm giảm lòng tự trọng của tôi."
"Bạn đã bao giờ tạo tài khoản giả trên mạng xã hội chưa? Nếu có, tại sao?","Không, tôi thích sử dụng danh tính thật của mình trên mạng."
Bạn cảm thấy thế nào khi bài đăng của bạn nhận được ít lượt thích hoặc bình luận hơn mong đợi?,Tôi cảm thấy thất vọng và đôi khi nghi ngờ giá trị bản thân.
"Bạn có bí mật kiểm tra trang cá nhân trên mạng xã hội của người khác (ví dụ: người yêu, người yêu cũ) không? Tần suất như thế nào?","Có, đôi khi tôi kiểm tra trang cá nhân của người yêu cũ, khoảng một lần một tuần."
Bạn có tin rằng nghiện mạng xã hội là một vấn đề thực sự đối với học sinh không? Tại sao và tại sao không?,"Có, vì nhiều sinh viên dành quá nhiều thời gian trực tuyến, bỏ bê việc học và tương tác ngoài đời thực."
Mạng xã hội ảnh hưởng đến tâm trạng của bạn hàng ngày như thế nào?,Tôi cảm thấy tâm trạng tốt hơn khi thấy nội dung tích cực nhưng lại lo lắng nếu gặp phải bài đăng tiêu cực.
Bạn đã bao giờ thử giảm việc sử dụng mạng xã hội chưa? Bạn có thành công không?,"Có, nhưng tôi đã tái nghiện sau vài ngày vì sợ bỏ lỡ (FOMO)."
Bạn có nghĩ số lượng người theo dõi/bạn bè phản ánh địa vị xã hội của bạn không?,"Một phần thôi, nhưng tôi biết đó không phải là thước đo thực sự cho các mối quan hệ trong đời thực."
Bạn phản ứng thế nào khi thấy người khác đăng về thành tích hoặc khoảnh khắc hạnh phúc của họ?,Tôi cảm thấy vui cho họ nhưng đôi khi lại ghen tị nếu mình không làm tốt như vậy.
Bạn có sử dụng mạng xã hội nhiều hơn khi cảm thấy cô đơn hoặc căng thẳng không?,"Đúng, đó là cách để tôi quên đi mọi thứ và cảm thấy kết nối với người khác."
Việc sử dụng mạng xã hội ảnh hưởng như thế nào đến việc tham gia lớp học hoặc bài giảng trực tiếp của bạn?,"Đôi khi tôi bỏ qua bài giảng vì nghĩ rằng mình có thể theo kịp sau thông qua các bài giảng chia sẻ trực tuyến, nhưng cách này không hiệu quả."
Bạn có nghĩ rằng mạng xã hội giúp bạn cập nhật những tiến bộ y tế mới nhất không?,"Có, tôi theo dõi các trang y khoa và những người có sức ảnh hưởng, những người đăng bài về các đột phá và hội nghị."
Bạn dành bao nhiêu phần trăm thời gian sử dụng mạng xã hội cho các hoạt động học thuật so với các hoạt động không liên quan đến học thuật?,"Khoảng 40% là dành cho mục đích học thuật (ví dụ: nghiên cứu, thảo luận) và 60% dành cho mục đích giải trí hoặc giao lưu."
Bạn có bao giờ cảm thấy mất tập trung khi học vì thông báo trên mạng xã hội không?,"Thường xuyên. Tôi thường dừng học để kiểm tra tin nhắn hoặc cập nhật, điều này làm mất tập trung."
Bạn có sử dụng mạng xã hội để kết nối với chuyên gia y tế hoặc người cố vấn không?,"Thỉnh thoảng, tôi tham gia các nhóm LinkedIn hoặc chủ đề Twitter nơi các chuyên gia chia sẻ hiểu biết sâu sắc."
Mạng xã hội đã ảnh hưởng đến việc chuẩn bị cho kỳ thi của bạn như thế nào?,Nó hữu ích để giải quyết nhanh chóng những nghi ngờ nhưng đôi khi lại dẫn đến sự trì hoãn.
Bạn có nghĩ rằng các nền tảng truyền thông xã hội nên được tích hợp chính thức vào giáo dục y tế không?,"Có, nhưng phải có hướng dẫn để đảm bảo tính chuyên nghiệp và tránh thông tin sai lệch."
Bạn đã bao giờ cảm thấy lo lắng hoặc căng thẳng vì bị so sánh với bạn bè trên mạng xã hội chưa?,"Đúng vậy, đôi khi tôi cảm thấy mình tụt hậu khi thấy người khác đăng về tiến độ học tập của mình."
Bạn có tham gia các câu đố y tế trực tuyến hoặc thử thách trên mạng xã hội không?,"Đúng, chúng rất thú vị và giúp củng cố kiến ​​thức, nhưng tôi không chỉ dựa vào chúng."
Làm thế nào để xác minh tính chính xác của thông tin y tế được chia sẻ trên mạng xã hội?,Tôi kiểm tra lại với sách giáo khoa hoặc các trang web đáng tin cậy như PubMed trước khi chấp nhận bất kỳ khiếu nại nào.
Việc sử dụng mạng xã hội có ảnh hưởng đến giấc ngủ của bạn trong thời gian thi không?,"Đúng vậy, việc lướt web vào đêm khuya làm giảm giấc ngủ của tôi, ảnh hưởng đến năng suất làm việc vào ngày hôm sau."
Bạn đã bao giờ kiêng sử dụng mạng xã hội để cải thiện thành tích học tập chưa? Kết quả thế nào?,"Có, trong kỳ thi giữa kỳ. Điểm của tôi được cải thiện nhờ tập trung và quản lý thời gian tốt hơn."
Làm thế nào để xác minh độ tin cậy của thông tin học thuật được chia sẻ trên mạng xã hội?,Tôi đối chiếu với sách giáo khoa hoặc các trang web học thuật có uy tín như Google Scholar.
Những tính năng nào trên mạng xã hội khiến bạn mất tập trung nhất khi học?,Việc liên tục cuộn trên Instagram Reels và thông báo trên Facebook làm mất tập trung của tôi.
Bạn dành bao nhiêu thời gian mỗi ngày cho MXH trên điện thoại di động?,"Khoảng 2-3 giờ, chủ yếu để lướt tin tức và liên lạc."
Bạn có cảm thấy việc sử dụng MXH ảnh hưởng đến điểm số của bạn không?,"Có, đôi khi làm giảm thời gian học, dẫn đến điểm số thấp hơn."
Bạn có thường xuyên kiểm tra MXH trong giờ học không?,"Thỉnh thoảng, khoảng 1-2 lần mỗi buổi học."
Việc sử dụng MXH có làm bạn mất tập trung khi học không?,"Có, MXH dễ gây phân tâm khi cần tập trung."
Bạn có sử dụng MXH để hỗ trợ việc học không?,"Có, tham gia nhóm học tập và tìm tài liệu trên MXH."
Bạn có cảm thấy lo lắng khi không thể truy cập MXH không?,"Đôi khi lo lắng nhẹ, đặc biệt khi chờ tin nhắn quan trọng."
Bạn có so sánh bản thân với người khác trên MXH không?,"Có, thỉnh thoảng so sánh, cảm thấy tự ti khi thấy người khác thành công."
Việc sử dụng MXH có khiến bạn cảm thấy cô đơn không?,"Đôi khi, khi thấy bạn bè có vẻ hạnh phúc hơn trên MXH."
Bạn có từng trải qua bắt nạt trên MXH không?,"Không, chưa từng trải qua bắt nạt trực tuyến."
Bạn có cảm thấy áp lực khi sử dụng MXH không?,"Có, áp lực từ việc so sánh hoặc cần duy trì hình ảnh."
Bạn có lập kế hoạch thời gian sử dụng MXH không?,"Thử lập kế hoạch, nhưng chưa thực hiện đều đặn."
Bạn có cảm thấy mất kiểm soát thời gian khi sử dụng MXH không?,"Có, thường lướt MXH lâu hơn dự định."
Việc sử dụng MXH có ảnh hưởng đến thời gian học tập của bạn không?,"Có, giảm thời gian học do lướt MXH quá nhiều."
Bạn có thường xuyên trì hoãn công việc do MXH không?,"Có, MXH thường khiến tôi trì hoãn bài tập."
Bạn có sử dụng công cụ để giới hạn thời gian trên MXH không?,"Đã thử ứng dụng như Forest, nhưng chưa kiên trì."
Bạn sử dụng MXH để giữ liên lạc với bạn bè và gia đình như thế nào?,Dùng tin nhắn và nhóm chat để liên lạc thường xuyên.
Bạn có cảm thấy MXH giúp bạn kết nối với người khác không?,"Có, giúp giữ liên lạc với bạn bè và gia đình dễ dàng hơn."
Bạn có từng gặp mâu thuẫn với ai đó trên MXH không?,"Hiếm, chỉ vài lần tranh luận nhỏ trên bài đăng."
Bạn có cảm thấy mối quan hệ của mình bị ảnh hưởng bởi MXH không?,"Đôi khi, do thiếu tương tác trực tiếp với bạn bè."
Bạn có sử dụng MXH để tham gia vào các nhóm hoặc cộng đồng không?,"Có, tham gia nhóm học tập và sở thích trên MXH."
Bạn có cảm thấy mình nghiện MXH không?,"Có lúc cảm thấy phụ thuộc, đặc biệt khi lướt vô thức."
Bạn có từng cố gắng giảm thời gian sử dụng MXH không?,"Có, đã thử giới hạn thời gian nhưng khó duy trì."
Bạn có cảm thấy khó chịu khi không thể truy cập MXH không?,"Đôi khi khó chịu, nhưng có thể quen dần."
Bạn có thường xuyên kiểm tra MXH ngay cả khi không có thông báo mới không?,"Có, kiểm tra theo thói quen khoảng 5-6 lần/ngày."
Bạn có cảm thấy việc sử dụng MXH ảnh hưởng đến giấc ngủ của bạn không?,"Có, lướt MXH trước khi ngủ làm khó ngủ hơn."
Bạn có sử dụng MXH để tìm kiếm cơ hội nghề nghiệp không?,"Có, qua LinkedIn để tìm việc làm và kết nối chuyên nghiệp."
Bạn có theo dõi các chuyên gia trong lĩnh vực của mình trên MXH không?,"Có, theo dõi để học hỏi kiến thức và kinh nghiệm."
Bạn có cảm thấy MXH giúp bạn phát triển kỹ năng nghề nghiệp không?,"Có, qua các bài đăng và khóa học chia sẻ trên MXH."
Bạn có chia sẻ thành tựu học tập hoặc nghề nghiệp trên MXH không?,"Thỉnh thoảng, chủ yếu chia sẻ cột mốc quan trọng."
Bạn có nhận được phản hồi tích cực từ nhà tuyển dụng qua MXH không?,"Chưa, nhưng đã nhận được lời mời phỏng vấn qua LinkedIn."
Bạn có thực hiện các bước để bảo vệ quyền riêng tư trên MXH không?,"Có, đặt tài khoản riêng tư và hạn chế chia sẻ thông tin nhạy cảm."
Bạn có chia sẻ thông tin cá nhân nhạy cảm trên MXH không?,"Không, tôi tránh chia sẻ thông tin nhạy cảm."
Bạn có từng gặp sự cố liên quan đến quyền riêng tư trên MXH không?,"Không, chưa gặp sự cố nghiêm trọng."
Bạn có cảm thấy an toàn khi sử dụng MXH không?,"Tương đối an toàn, nhưng vẫn cẩn thận với nội dung chia sẻ."
Bạn có biết cách thiết lập quyền riêng tư trên các nền tảng MXH không?,"Có, tôi biết cách cài đặt quyền riêng tư cơ bản."
Bạn có cảm thấy MXH giúp bạn nhận thức rõ hơn về các vấn đề xã hội không?,"Có, MXH cung cấp thông tin về các vấn đề xã hội."
Bạn có tham gia vào các chiến dịch xã hội hoặc từ thiện qua MXH không?,"Thỉnh thoảng, chủ yếu chia sẻ hoặc quyên góp nhỏ."
Bạn có cảm thấy MXH thúc đẩy sự tham gia của bạn vào cộng đồng không?,"Có, giúp tôi tham gia các sự kiện cộng đồng dễ hơn."
Bạn có chia sẻ quan điểm cá nhân về các vấn đề xã hội trên MXH không?,"Hiếm, chỉ chia sẻ khi cảm thấy cần thiết."
Bạn có cảm thấy MXH ảnh hưởng đến quan điểm chính trị của bạn không?,"Có một chút, do tiếp xúc với nhiều ý kiến khác nhau."
Bạn có sử dụng MXH để trao đổi bài tập với bạn bè không?,"Có, thường xuyên trao đổi qua nhóm chat."
Bạn có cảm thấy MXH giúp bạn hiểu bài học tốt hơn không?,"Đôi khi, qua tài liệu và thảo luận nhóm trên MXH."
Bạn có thường xuyên bị xao nhãng bởi MXH khi học tập không?,"Có, MXH dễ làm tôi mất tập trung khi học."
Bạn có sử dụng MXH để tìm kiếm thông tin học tập không?,"Có, tìm tài liệu và video hướng dẫn trên MXH."
Bạn có cảm thấy việc sử dụng MXH ảnh hưởng đến hiệu suất học tập không?,"Có, làm giảm hiệu suất do mất thời gian."
Bạn có cảm thấy việc sử dụng MXH ảnh hưởng đến giấc ngủ không?,"Có, lướt MXH khuya làm giảm chất lượng giấc ngủ."
Bạn có cảm thấy mệt mỏi sau khi sử dụng MXH trong thời gian dài không?,"Có, cảm thấy mệt và mất năng lượng."
Bạn có cảm thấy đau mắt hoặc đau đầu sau khi sử dụng MXH không?,"Có, đặc biệt khi dùng điện thoại quá lâu."
Bạn có dành thời gian để nghỉ ngơi sau khi sử dụng MXH không?,"Thỉnh thoảng, nhưng thường quên nghỉ ngơi."
Bạn có thực hiện các bài tập thể dục để giảm thiểu tác động tiêu cực của MXH không?,"Hiếm, nhưng đôi khi tập nhẹ để giảm căng thẳng."
Bạn chủ yếu sử dụng MXH để làm gì?,"Liên lạc, giải trí, và tìm thông tin học tập."
Bạn có sử dụng MXH để giải trí không?,"Có, xem video và bài đăng hài hước."
Bạn có sử dụng MXH để cập nhật tin tức không?,"Có, theo dõi tin tức qua các trang MXH."
Bạn có sử dụng MXH để kết nối với bạn bè không?,"Có, chủ yếu để giữ liên lạc với bạn bè."
Bạn có sử dụng MXH để học tập không?,"Có, tham gia nhóm học và tìm tài liệu."
Bạn đánh giá tổng thể tác động của MXH đến cuộc sống của bạn như thế nào?,"Cả lợi ích (kết nối, học tập) và tác hại (phân tâm, áp lực)."
Bạn có cảm thấy MXH mang lại nhiều lợi ích hơn là tác hại không?,"Tùy lúc, nhưng tác hại thường nổi bật hơn nếu không kiểm soát."
Bạn có đề xuất nào để giúp sinh viên sử dụng MXH hiệu quả hơn không?,"Đặt giới hạn thời gian, ưu tiên học tập, sử dụng MXH cho mục đích tích cực."
Bạn có từng nhận được sự hỗ trợ học tập từ các cộng đồng/nhóm trên MXH không?,"Có, nhận được tài liệu và lời khuyên từ nhóm học tập."
Bạn có cảm thấy tội lỗi về thời gian bạn dành cho MXH không?,"Có, đặc biệt khi trì hoãn công việc học tập."
