Câu hỏi khảo sát,Trả lời
Thử thách và trào lưu mạng xã hội ảnh hưởng thế nào đến sinh viên?,Trào lưu có thể khuyến khích sự sáng tạo nhưng đôi khi cũng thúc đẩy hành vi nguy hiểm.
Sinh viên có cảm thấy lo lắng khi không thể truy cập mạng xã hội không?,Một số sinh viên cảm thấy lo lắng hoặc ngắt kết nối khi không thể truy cập mạng xã hội.
Ảnh hưởng từ bạn bè trên mạng xã hội tác động thế nào đến hành vi của sinh viên?,Sinh viên thường bắt chước hành vi mà họ quan sát được từ bạn bè trên mạng.
Mạng xã hội có phải công cụ hiệu quả cho việc kết nối giữa sinh viên không?,"Có, các nền tảng như LinkedIn giúp sinh viên kết nối với chuyên gia và bạn bè."
Sinh viên nhìn nhận vấn đề quyền riêng tư trên mạng xã hội như thế nào?,Nhiều sinh viên lo lắng về quyền riêng tư nhưng không thực hiện biện pháp bảo vệ.
Chiến dịch mạng xã hội có thể truyền cảm hứng cho thay đổi tích cực ở sinh viên không?,"Có, nhiều sinh viên tham gia hoạt động xã hội qua các chiến dịch mạng xã hội."
Sinh viên gặp khó khăn gì khi cân bằng giữa các mối quan hệ online và offline?,Việc cân bằng tương tác online và mối quan hệ thực tế gây khó khăn cho sinh viên.
Sự kết nối liên tục ảnh hưởng thế nào đến ranh giới cá nhân của sinh viên?,"Sinh viên có thể cảm thấy áp lực phải luôn sẵn sàng, ảnh hưởng đến thời gian cá nhân."
Mạng xã hội có ảnh hưởng đến kỹ năng ra quyết định của sinh viên không?,Ảnh hưởng từ mạng xã hội có thể làm thay đổi lựa chọn và ý kiến của sinh viên.
Sinh viên có bị ảnh hưởng bởi các influencer trên mạng xã hội không?,"Có, nhiều sinh viên coi influencer là nguồn cảm hứng về lối sống, thời trang, học tập."
Tình trạng quá tải nội dung trên mạng xã hội ảnh hưởng thế nào đến sinh viên?,Việc tiếp xúc liên tục với thông tin có thể khiến sinh viên bị kiệt sức tinh thần.
Tham gia cộng đồng trực tuyến có lợi cho sinh viên không?,"Các cộng đồng online cung cấp sự hỗ trợ, lời khuyên và cảm giác thuộc về."
Nội dung hài hước và meme ảnh hưởng thế nào đến tâm trạng sinh viên?,Nội dung hài hước có thể cải thiện tâm trạng và giúp sinh viên giảm stress.
Sinh viên có phụ thuộc vào mạng xã hội để cập nhật tin tức không?,"Nhiều sinh viên cập nhật tin tức qua Twitter, Instagram."
Nội dung đã chọn lọc trên mạng xã hội ảnh hưởng thế nào đến nhận thức thực tế của sinh viên?,Việc chỉ thấy bài đăng tích cực hoặc phóng đại có thể bóp méo nhận thức thực tế của sinh viên.
Sinh viên có ý thức về dấu vết số (digital footprint) của mình không?,"Một số sinh viên cẩn thận với những gì họ đăng, vì biết nó ảnh hưởng đến tương lai."
Mạng xã hội có thể củng cố tình bạn đường dài giữa các sinh viên không?,"Có, mạng xã hội giúp duy trì tình bạn đường dài."
Sinh viên có trải nghiệm mệt mỏi vì phải liên tục ra quyết định trên mạng xã hội không?,"Có, việc chọn cái gì để đăng, thích hoặc phản hồi có thể khiến sinh viên mệt mỏi tinh thần."
Sinh viên sử dụng mạng xã hội để thể hiện bản thân như thế nào?,"Sinh viên chia sẻ suy nghĩ, tác phẩm nghệ thuật và trải nghiệm qua bài đăng và story."
Tiếp xúc với mạng xã hội có ảnh hưởng đến thói quen tiêu dùng của sinh viên không?,Quảng cáo và influencer có thể ảnh hưởng đến quyết định mua sắm của sinh viên.
Tranh cãi trực tuyến ảnh hưởng thế nào đến sinh viên?,Tham gia tranh luận online có thể gây ra căng thẳng và kiệt sức cảm xúc.
Sinh viên có bị ảnh hưởng bởi văn hóa 'cancel' trên mạng xã hội không?,Nỗi sợ bị 'cancel' có thể khiến sinh viên tự kiểm duyệt và lo lắng.
Hình ảnh thành công được đăng trên mạng xã hội ảnh hưởng thế nào đến sinh viên?,Việc nhìn thấy thành công của người khác có thể tạo động lực nhưng cũng khiến một số sinh viên nản lòng.
Sinh viên có tìm được hình mẫu lý tưởng thông qua mạng xã hội không?,"Có, sinh viên thường tìm được cảm hứng từ giáo viên, nhà hoạt động, người sáng tạo trên mạng."
