Câu hỏi khảo sát,Trả lời
Bạn đã bao giờ bị bắt nạt qua mạng hoặc quấy rối trực tuyến chưa?,"ng, tôi đã từng bị quấy rối trực tuyến."
Bạn nghĩ mạng xã hội có tác động tích cực hay tiêu cực đến sức khỏe tâm thần của học sinh?," tích cực và tiêu cực, tùy thuộc vào cách nó được sử dụng."
Phương tiện truyền thông xã hội ảnh hưởng đến tâm trạng hàng ngày của bạn như thế nào?," ảnh hưởng đến tâm trạng của tôi, đặc biệt là những tin tức tiêu cực."
Bạn có sử dụng phương tiện truyền thông xã hội để cập nhật các sự kiện hiện tại không?,", tôi đọc tin tức cập nhật trên mạng xã hội."
Bạn đã bao giờ tham gia các cuộc thảo luận hoặc diễn đàn trực tuyến liên quan đến việc học của mình chưa?,", tôi đã tham gia nhóm học trực tuyến."
Bạn có sử dụng mạng xã hội để cộng tác trong các dự án nhóm không?,", tôi sử dụng nó để thảo luận dự án nhóm."
Phương tiện truyền thông xã hội đã thay đổi cách bạn giao tiếp với bạn bè và gia đình như thế nào?, làm cho việc giao tiếp nhanh hơn nhưng ít mang tính cá nhân hơn.
Bạn có cảm thấy lo lắng khi không thể truy cập mạng xã hội không?,"ng, tôi cảm thấy lo lắng khi không truy cập được mạng xã hội."
Bạn đã bao giờ cân nhắc việc tạm dừng sử dụng mạng xã hội chưa?,"ng, tôi đã từng nghỉ sử dụng mạng xã hội trước đây."
Bạn có nghĩ chứng nghiện mạng xã hội là một vấn đề thực sự ở sinh viên không?,"ng vậy, chứng nghiện mạng xã hội là điều phổ biến ở sinh viên."
Bạn có gợi ý gì để học sinh sử dụng mạng xã hội một cách có trách nhiệm?,y sử dụng nó một cách có chừng mực và tránh bị phân tâm.
Bạn có cảm thấy thoải mái hơn khi thể hiện bản thân trên mạng xã hội hơn là ngoài đời thực không?,", tôi cảm thấy tự tin hơn khi trực tuyến."
Bạn đã bao giờ chia sẻ những vấn đề cá nhân trên mạng xã hội chưa?,", nhưng chỉ với bạn bè thân thiết thôi."
Bạn có nghĩ rằng phương tiện truyền thông xã hội ảnh hưởng đến ý kiến ​​​​của bạn về các vấn đề xã hội?,"ng, nó đã định hình một số quan điểm của tôi."
Bạn đã bao giờ mua một sản phẩm vì quảng cáo trên mạng xã hội chưa?,", quảng cáo trên mạng xã hội ảnh hưởng đến tôi."
Bạn có tin tưởng thông tin được chia sẻ trên phương tiện truyền thông xã hội?,ông phải lúc nào tôi cũng kiểm tra kỹ các nguồn.
Bạn đã bao giờ gặp phải tin giả trên mạng xã hội chưa?,"ng, tôi đã thấy tin giả nhiều lần."
Bạn có thường xuyên tương tác với các cộng đồng hoặc diễn đàn trực tuyến không?,t vài lần mỗi tuần.
Bạn đã bao giờ tham gia một khóa học trực tuyến vì các chương trình khuyến mãi trên mạng xã hội chưa?,", tôi đã phát hiện ra một khóa học trực tuyến thông qua mạng xã hội."
Bạn có sử dụng mạng xã hội để giữ liên lạc với các thành viên trong gia đình không?,", tôi trò chuyện với gia đình tôi trực tuyến."
Phương tiện truyền thông xã hội có ảnh hưởng đến việc lựa chọn du lịch hoặc lối sống của bạn không?,", tôi đã đến thăm những địa điểm tôi thấy trên mạng xã hội."
Bạn có nghĩ rằng phương tiện truyền thông xã hội thúc đẩy các tiêu chuẩn sắc đẹp phi thực tế?,"ng, nó đặt ra những kỳ vọng không thực tế."
Bạn đã bao giờ cảm thấy FOMO (sợ bỏ lỡ) vì mạng xã hội chưa?,"ng, đôi khi tôi cảm thấy bị bỏ rơi."
Bạn có thường xuyên đăng thông tin cập nhật về cuộc sống hàng ngày của mình không?,t hoặc hai lần một tuần.
Bạn có thích trò chuyện trên mạng xã hội hơn là trò chuyện trực tiếp không?,", tôi thích nhắn tin hơn nói chuyện."
Bạn đã bao giờ thực hiện một kết nối có ý nghĩa thông qua phương tiện truyền thông xã hội?,"ng, tôi đã có được những người bạn tốt trên mạng."
Bạn có sử dụng mạng xã hội để giải trí hoặc thư giãn không?,", tôi xem video và meme để giải trí."
Bạn có tin rằng phương tiện truyền thông xã hội ảnh hưởng đến chất lượng giấc ngủ?,"ng, nó giúp tôi tỉnh táo vào ban đêm."
Bạn đã bao giờ xóa hoặc vô hiệu hóa tài khoản truyền thông xã hội của mình chưa?,"ng, tôi đã từng tạm dừng sử dụng mạng xã hội một lần."
Bạn quản lý thời gian sử dụng thiết bị của mình trên mạng xã hội như thế nào?,i sử dụng giới hạn thời gian trên màn hình.
Bạn đã bao giờ cảm thấy choáng ngợp bởi quá nhiều nội dung trên mạng xã hội chưa?,"ng, đôi khi nó cảm thấy quá nhiều."
Bạn có nghĩ rằng phương tiện truyền thông xã hội là cần thiết cho mạng lưới chuyên nghiệp?,", kết nối trực tuyến dễ dàng hơn."
Bạn đã bao giờ tìm được người cố vấn thông qua mạng xã hội chưa?,", tôi đã tìm được một người cố vấn trên LinkedIn."
Bạn có sử dụng mạng xã hội để tham gia hoạt động trực tuyến hoặc các phong trào xã hội không?,", tôi đã tham gia các phong trào xã hội trực tuyến."
Bạn có nghĩ mạng xã hội làm tăng hay giảm các kỹ năng xã hội trong đời thực không?,"n tùy, nhưng nó có thể làm giảm kỹ năng gặp mặt trực tiếp."
Bạn đã bao giờ đặt mục tiêu cụ thể cho việc sử dụng mạng xã hội của mình chưa?,", tôi đặt giới hạn cho việc sử dụng của mình."
Bạn có nghĩ rằng phương tiện truyền thông xã hội đã giúp cải thiện khả năng sáng tạo của bạn?,"ng, nó truyền cảm hứng cho tôi sáng tạo."
Bạn đã bao giờ nhận được lời khuyên học tập có giá trị thông qua mạng xã hội chưa?,", tôi đã nhận được những lời khuyên học tập hữu ích."
Bạn có sử dụng phương tiện truyền thông xã hội để giới thiệu thành tích của mình không?,", thỉnh thoảng tôi chia sẻ thành tích của mình."
Bạn có nghĩ rằng việc sử dụng mạng xã hội quá mức sẽ ảnh hưởng đến năng suất?,"ng, nó có thể là một sự phân tâm lớn."
Chiến lược cá nhân của bạn để duy trì sự cân bằng lành mạnh với phương tiện truyền thông xã hội là gì?,i hạn chế sử dụng và nghỉ ngơi.
